x	E1095
0	0
0.01	2.57103e-05
0.02	5.49437e-05
0.03	8.81616e-05
0.04	0.000125547
0.05	0.000168206
0.06	0.000216468
0.07	0.00027057
0.08	0.000330967
0.09	0.000398158
0.1	0.00047262
0.11	0.000554811
0.12	0.000645183
0.13	0.000744187
0.14	0.000852272
0.15	0.00096989
0.16	0.0010975
0.17	0.00123555
0.18	0.0013845
0.19	0.00154483
0.2	0.00171701
0.21	0.00190153
0.22	0.00209888
0.23	0.00230955
0.24	0.00253409
0.25	0.00277302
0.26	0.00302689
0.27	0.00329628
0.28	0.00358178
0.29	0.00388402
0.3	0.00420362
0.31	0.00454127
0.32	0.00489768
0.33	0.00527357
0.34	0.00566973
0.35	0.00608697
0.36	0.00652615
0.37	0.00698818
0.38	0.00747401
0.39	0.00798466
0.4	0.0085212
0.41	0.00908477
0.42	0.00967658
0.43	0.0102979
0.44	0.010951
0.45	0.0116377
0.46	0.0123601
0.47	0.0131184
0.48	0.0139143
0.49	0.0147498
0.5	0.0156267
0.51	0.0155447
0.52	0.0154746
0.53	0.0154173
0.54	0.0153735
0.55	0.0153437
0.56	0.0153288
0.57	0.0153292
0.58	0.0153454
0.59	0.015378
0.6	0.0154272
0.61	0.0154935
0.62	0.0155771
0.63	0.0156781
0.64	0.0157968
0.65	0.0159332
0.66	0.0160872
0.67	0.0162591
0.68	0.0164485
0.69	0.0166556
0.7	0.0168802
0.71	0.0171222
0.72	0.0173814
0.73	0.0176577
0.74	0.017951
0.75	0.018261
0.76	0.0185877
0.77	0.0189309
0.78	0.0192903
0.79	0.0196659
0.8	0.0200575
0.81	0.020465
0.82	0.0208881
0.83	0.0213268
0.84	0.0217809
0.85	0.0222503
0.86	0.0227348
0.87	0.0232343
0.88	0.0237487
0.89	0.0242779
0.9	0.0248217
0.91	0.02538
0.92	0.0259527
0.93	0.0265397
0.94	0.0271409
0.95	0.0277561
0.96	0.0283853
0.97	0.0290283
0.98	0.029685
0.99	0.0303554
1	0.0310393
1.01	0.0310392
1.02	0.0310392
1.03	0.0310392
1.04	0.0310392
1.05	0.0310392
1.06	0.0310392
1.07	0.0310392
1.08	0.0310392
1.09	0.0310392
1.1	0.0310392
1.11	0.0310392
1.12	0.0310392
1.13	0.0310392
1.14	0.0310392
1.15	0.0310392
1.16	0.0310392
1.17	0.0310392
1.18	0.0310392
1.19	0.0310392
1.2	0.0310392
1.21	0.0310392
1.22	0.0310392
1.23	0.0310392
1.24	0.0310392
1.25	0.0310392
1.26	0.0310392
1.27	0.0310392
1.28	0.0310392
1.29	0.0310392
1.3	0.0310392
1.31	0.0310392
1.32	0.0310392
1.33	0.0310392
1.34	0.0310392
1.35	0.0310392
1.36	0.0310392
1.37	0.0310392
1.38	0.0310392
1.39	0.0310392
1.4	0.0310392
1.41	0.0310392
1.42	0.0310392
1.43	0.0310392
1.44	0.0310392
1.45	0.0310392
1.46	0.0310392
1.47	0.0310392
1.48	0.0310392
1.49	0.0310392
1.5	0.0310392
1.51	0.0310392
1.52	0.0310392
1.53	0.0310392
1.54	0.0310392
1.55	0.0352139
1.56	0.0460625
1.57	0.0641852
1.58	0.0879729
1.59	0.114055
1.6	0.139595
1.60909	0.161008
1.61752	0.17887
1.62622	0.195199
1.63518	0.20986
1.64435	0.222797
1.65369	0.234084
1.66315	0.243846
1.67271	0.252204
1.68236	0.259316
1.69208	0.26532
1.70185	0.270359
1.71167	0.274574
1.72153	0.278099
1.73051	0.280801
1.7397	0.283148
1.74905	0.285176
1.75854	0.286924
1.76812	0.288426
1.77779	0.289716
1.78752	0.290821
1.79731	0.291769
1.80714	0.292581
1.817	0.293275
1.82689	0.29387
1.83681	0.294378
1.84674	0.294813
1.85668	0.295184
1.86664	0.295502
1.8766	0.295774
1.88657	0.296007
1.89655	0.296205
1.90653	0.296375
1.91652	0.29652
1.92651	0.296644
1.9365	0.296749
1.94649	0.296837
1.95648	0.296911
1.96648	0.296973
1.97647	0.297022
1.98647	0.29706
1.99647	0.297089
2.00647	0.297109
2.01646	0.297118
2.02646	0.297121
2.03646	0.297115
2.04646	0.297102
2.05646	0.297082
2.06646	0.297055
2.07646	0.297022
2.08646	0.296981
2.09646	0.296934
2.1	0.296917
